source,stop_id,name,street,cross_street,municipality,status,lon,lat
GRT,12213,Keats Way at McDougall Rd,Keats Way,McDougall Rd,Waterloo,Active,-80.54524804,43.46121303
GRT,10384,Elgin St N at Ferguson Ave,Elgin St N,Ferguson Ave,Cambridge,Active,-80.30726198,43.38110998
GRT,12522,Erbsville Rd at Columbia St W,Erbsville Rd,Columbia St W,Waterloo,Active,-80.58128504,43.46225497
GRT,12114,Hoffman St at Meinzinger Ave,Hoffman St,Meinzinger Ave,Kitchener,Active,-80.48266501,43.43208004
GRT,11683,Franklin St N at Dalewood Dr,Franklin St N,Dalewood Dr,Kitchener,Active,-80.44770304,43.44323498
GRT,11751,Belmont Ave W at Victoria St S,Belmont Ave W,Victoria St S,Kitchener,Active,-80.512007,43.44323498
GRT,13255,Laurelwood Dr at Birchmount Dr,Laurelwood Dr,Birchmount Dr,Waterloo,Active,-80.590218,43.472771
GRT,10518,Franklin Blvd at Bishop St,Franklin Blvd,Bishop St,Cambridge,Active,-80.30477,43.399157
GRT,11790,Traynor Ave at Balfour Cres,Traynor Ave,Balfour Cres,Kitchener,Active,-80.44934798,43.42213697
GRT,10362,Sagniaw Pky at Cowan Blvd,Sagniaw Pky,Cowan Blvd,Cambridge,Active,-80.29619319,43.38958246
GRT,11302,Grand Ridge Dr at Mark Cres,Grand Ridge Dr,Mark Cres,Cambridge,Active,-80.33595001,43.34155803
GRT,11413,Krug St at Samuel St,Krug St,Samuel St,Kitchener,Active,-80.47711004,43.45096803
GRT,10179,Hazel St at Blythwood Dr,Hazel St,Blythwood Dr,Waterloo,Active,-80.53729296,43.48567501
GRT,11403,Victoria St N at Edna St,Victoria St N,Edna St,Kitchener,Active,-80.47658198,43.46059201
GRT,11806,Courtland Ave E at Stirling Ave S,Courtland Ave E,Stirling Ave S,Kitchener,Active,-80.48451301,43.44139801
GRT,13868,Huron Rd at Fischer-Hallman Rd S,Huron Rd,Fischer-Hallman Rd S,Kitchener,Active,-80.48927097,43.38212663
GRT,12244,Westmount Rd E at Ottawa St S,Westmount Rd E,Ottawa St S,Kitchener,Active,-80.50173801,43.419307
