cross_street,direction,lat,lon,municipality,name,phase,source,stage1,stage2,status,stop_id,street,lat_orig,lon_orig,move_distance_m,kept
McDougall Rd,,43.46121200306938,-80.54525067055955,Waterloo,Keats Way at McDougall Rd,,GRT,,,Active,12213,Keats Way,43.46121303,-80.54524804,0.24107164060201572,1
Victoria St S,,43.44323403126619,-80.51200651905468,Kitchener,Belmont Ave W at Victoria St S,,GRT,,,Active,11751,Belmont Ave W,43.44323498,-80.512007,0.11241316286891989,1
Blythwood Dr,,43.48567574543866,-80.53729294943152,Waterloo,Hazel St at Blythwood Dr,,GRT,,,Active,10179,Hazel St,43.48567501,-80.53729296,0.08178149268953674,1
Fischer-Hallman Rd S,,43.431422,-80.525896,Kitchener,Highland Rd W at Fischer-Hallman Rd S,,GRT,,,Active,12234,Highland Rd W,43.431422,-80.525896,0.0,1
Hagey Blvd,,43.475604376657564,-80.54823448190324,Waterloo,Columbia St W at Hagey Blvd,,GRT,,,Active,13584,Columbia St W,43.474512,-80.547288,143.48162608534594,1
Green Meadow Cres,,43.4944932676198,-80.56004510372992,Waterloo,Northlake Dr at Green Meadow Cres,,GRT,,,Active,10145,Northlake Dr,43.49483001,-80.55954797,54.865046546604006,1
Brynhurst Blvd,,43.45671916794391,-80.56485415381118,Waterloo,Keats Way at Brynhurst Blvd,,GRT,,,Active,12718,Keats Way,43.456715,-80.56486301,0.8519256604023137,1
King St N,,43.479430669930096,-80.52447183031553,Waterloo,Hickory St E at King St N,,GRT,,,Detour,11582,Hickory St E,43.47819198,-80.52517302,148.90299135307782,1
Bathurst Dr,,43.50587703,-80.53561797,Waterloo,Northland Rd at Bathurst Dr,,GRT,,,Active,10227,Northland Rd,43.50587703,-80.53561797,0.0,1
Tamarack Dr,,43.484961269836326,-80.53664677522741,Waterloo,Hazel St at Tamarack Dr,,GRT,,,Active,10164,Hazel St,43.48496122,-80.53664656,0.01822694751527977,1
Nothland Rd,,43.504827,-80.536775,Waterloo,King St N at Nothland Rd,,GRT,,,Active,11137,King St N,43.504827,-80.536775,0.0,1
Weber St N,,43.483534,-80.522155,Waterloo,Columbia St E at Weber St N,,GRT,,,Active,12788,Columbia St E,43.483534,-80.522155,0.0,1
Thorndale Dr,,43.44233076538616,-80.56581326904342,Waterloo,Ira Needles Blvd at Thorndale Dr,,GRT,,,Active,12974,Ira Needles Blvd,43.442331,-80.56581,0.26521225392775005,1
Chopin Dr,,43.44313399,-80.52266391,Kitchener,Westmount Rd W at Chopin Dr,,GRT,,,Active,12987,Westmount Rd W,43.44313399,-80.52266391,0.0,1
University of Waterloo - University Club,,43.47273701114093,-80.54797704636992,Waterloo,Ring Rd at University of Waterloo - University Club,,GRT,,,Active,11571,Ring Rd,43.47273698,-80.54797802,0.07864272761820115,1
Central St,,43.46980701,-80.52373201,Waterloo,King St N at Central St,,GRT,,,Active,11589,King St N,43.46980701,-80.52373201,0.0,1
Platform 3,,43.474034,-80.541204,Waterloo,University of Waterloo Station at Platform 3,,GRT,,,Active,13726,University of Waterloo Station,43.474034,-80.541204,0.0,1
Oprington Dr,,43.43514,-80.532421,Kitchener,Victoria St S at Oprington Dr,,GRT,,,Active,12272,Victoria St S,43.43514,-80.532421,0.0,1
Westwood Dr,,43.446241040621025,-80.52311384151416,Kitchener,Westmount Rd W at Westwood Dr,,GRT,,,Active,12988,Westmount Rd W,43.446241,-80.523118,0.33574382809221465,1
Platform 3,,43.474173,-80.540778,Waterloo,University of Waterloo Station at Platform 3,,GRT,,,Active,13728,University of Waterloo Station,43.474173,-80.540778,0.0,1
Heather Hill Pl,,43.448495506258695,-80.55836850937948,Waterloo,Westvale Dr at Heather Hill Pl,,GRT,,,Active,11024,Westvale Dr,43.448492,-80.558366,0.43936455645346867,1
Cedar St,,43.53771695,-80.55388298,Woolwich,King St N at Cedar St,,GRT,,,Active,12861,King St N,43.53771695,-80.55388298,0.0,1
Sunview St,,43.47326499,-80.53314801,Waterloo,University Ave W at Sunview St,,GRT,,,Active,11729,University Ave W,43.47326499,-80.53314801,0.0,1
Stop 4003,,43.43543984842082,-80.56101993838942,Kitchener,The Boardwalk Station at Stop 4003,,GRT,,,Active,13180,The Boardwalk Station,43.43544,-80.561022,0.16731410559903476,1
